;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
10009;Apartamento;Pavuna;2;0;0;50;530.0;300.0;
10010;Quitinete;Copacabana;1;0;0;30;2000.0;600.0;29.0
10011;Casa de Vila;Cachambi;3;0;0;110;1700.0;;
10012;Apartamento;Centro;1;0;0;57;1400.0;450.0;220.0
10013;Apartamento;Copacabana;3;1;1;135;4000.0;1100.0;
10014;Apartamento;Água Santa;3;0;0;55;1000.0;715.0;
10015;Apartamento;Tijuca;2;1;1;80;2400.0;700.0;
10016;Apartamento;Copacabana;3;0;0;85;3000.0;1639.0;128.0
10017;Apartamento;Copacabana;1;0;0;35;1130.0;500.0;
10018;Apartamento;Tijuca;2;1;1;73;2200.0;650.0;1400.0
10019;Apartamento;Maracanã;2;0;0;70;1800.0;531.0;66.0
10020;Apartamento;São Cristóvão;2;1;1;69;1900.0;550.0;150.0
10021;Casa;Campo Grande;2;2;0;80;1200.0;;
10022;Apartamento;Olaria;3;1;1;80;1000.0;678.0;30.0
10023;Apartamento;Laranjeiras;1;0;0;42;1500.0;475.0;55.0
10024;Apartamento;Recreio dos Bandeirantes;3;2;2;116;2900.0;500.0;250.0
10025;Apartamento;Botafogo;2;1;0;81;2800.0;750.0;830.0
10026;Apartamento;São Conrado;5;2;1;210;5500.0;2200.0;700.0
10027;Apartamento;Pechincha;2;1;1;83;1450.0;300.0;1028.0
10028;Apartamento;Copacabana;4;1;0;155;5000.0;1500.0;228.0
10029;Apartamento;Recreio dos Bandeirantes;3;1;2;93;2000.0;550.0;
10030;Apartamento;Copacabana;2;0;0;75;3000.0;660.0;
10031;Apartamento;Barra da Tijuca;2;2;1;100;3000.0;1620.0;320.0
10032;Apartamento;Copacabana;3;1;1;160;4500.0;1400.0;200.0
10033;Apartamento;Tijuca;3;1;1;120;3500.0;700.0;
10034;Casa de Condomínio;Anil;3;2;1;308;3500.0;700.0;280.0
10035;Apartamento;Humaitá;3;2;2;110;4500.0;999.0;252.0
10036;Apartamento;Barra da Tijuca;1;1;1;70;2800.0;850.0;210.0
10037;Apartamento;Irajá;2;1;1;85;1500.0;295.0;
10038;Apartamento;Flamengo;4;3;1;200;15000.0;2452.0;601.0
10039;Casa de Condomínio;Taquara;6;6;5;722;5000.0;380.0;700.0
10040;Apartamento;Flamengo;2;1;0;65;2200.0;960.0;85.0
10041;Apartamento;Copacabana;4;1;4;430;18000.0;3000.0;
10042;Apartamento;Recreio dos Bandeirantes;2;2;1;100;1600.0;1034.0;
10043;Apartamento;Barra da Tijuca;2;1;1;94;2050.0;1523.0;
10044;Casa;Inhoaíba;2;1;0;85;1000.0;;
10045;Apartamento;Penha;1;1;0;60;850.0;314.0;
10046;Flat;Ipanema;1;1;0;50;2000.0;2120.0;570.0
10047;Apartamento;Tijuca;2;0;1;70;2500.0;450.0;48.0
10048;Casa de Condomínio;Barra da Tijuca;4;3;4;263;7000.0;700.0;518.0
10049;Apartamento;Flamengo;3;0;0;97;3500.0;970.0;158.0
10050;Apartamento;Engenho Novo;3;1;0;98;1100.0;800.0;100.0
10051;Apartamento;Barra da Tijuca;1;1;1;70;3500.0;;
10052;Apartamento;Jardim Botânico;3;4;2;325;13900.0;2600.0;
10053;Apartamento;Honório Gurgel;2;0;0;50;700.0;220.0;
10054;Apartamento;Tijuca;2;0;1;70;1800.0;350.0;95.0
10055;Apartamento;Bonsucesso;2;0;0;80;1800.0;;
10056;Apartamento;Tijuca;2;0;0;75;1300.0;890.0;
10057;Apartamento;Tijuca;3;0;0;110;2100.0;820.0;110.0
10058;Apartamento;Freguesia (Jacarepaguá);4;2;2;167;3000.0;1075.0;331.0
10059;Apartamento;Barra da Tijuca;2;3;2;156;12000.0;4000.0;1015.0
10060;Apartamento;Barra da Tijuca;3;1;1;107;3400.0;1180.0;270.0
10061;Apartamento;Recreio dos Bandeirantes;2;1;1;72;1500.0;761.0;90.0
10062;Apartamento;Vila da Penha;3;1;1;90;1700.0;780.0;
10063;Apartamento;Barra da Tijuca;4;3;2;245;7000.0;3500.0;700.0
10064;Apartamento;São Conrado;3;3;1;360;8000.0;9500.0;176.0
10065;Apartamento;Tijuca;2;1;1;85;2200.0;907.0;138.0
10066;Apartamento;Humaitá;3;0;1;100;3400.0;710.0;154.0
10067;Apartamento;Tijuca;2;1;0;73;2200.0;700.0;
10068;Apartamento;Barra da Tijuca;3;2;1;150;6500.0;1250.0;485.0
10069;Apartamento;Arpoador;2;1;1;85;4200.0;1160.0;151.0
10070;Apartamento;Tijuca;3;2;1;110;2700.0;975.0;171.0
10071;Apartamento;Ipanema;3;1;0;120;4600.0;1350.0;278.0
10072;Flat;Leblon;1;1;0;55;7000.0;;
10073;Apartamento;Jacarepaguá;2;1;1;65;2500.0;665.0;50.0
10074;Apartamento;Ipanema;3;1;1;120;6500.0;1900.0;600.0
10075;Apartamento;Tijuca;2;1;0;78;1480.0;500.0;650.0
10076;Apartamento;Tijuca;3;1;1;90;2100.0;850.0;125.0
